N°;Jugador;Equipo
1;Robert Lewandowski;Bayern Múnich
2;Lionel Messi;Barcelona
3;Cristiano Ronaldo;Juventus
4;Kevin De Bruyne;Manchester City
5;Sadio Mané;Liverpool
6;Erling Braut Haaland ;Borussia Dortmund
7;Kylian Mbappé;Paris St-Germain
8;Mohamed Salah;Liverpool
9;Neymar ;Paris St-Germain
10;Virgil van Dijk;Liverpool
11;Joshua Kimmich;Bayern Múnich
12;Karim Benzema;Real Madrid
13;Sergio Ramos ;Real Madrid
14;Thomas Müller ;Bayern Múnich
15;Manuel Neuer ;Bayern Munich
16;Serge Gnabry ;Bayern Munich
17;Thiago Alcantara ;Liverpool
18;Trent Alexander ;Liverpool
19;Romelu Lukaku ;Inter de Milan
20;Harry Kane ;Tottenham Hotspur
21;Bruno Fernandes ;Manchester United
22;Son Heung-min ;(Tottenham Hotspur)
23;Alphonso Davies ;(Bayern Munich)
24;Ciro Immobile ;(Lazio)
25;Zlatan Ibrahimovic ;(Milan)
26; Alisson ;(Liverpool)
27;Raheem Sterling ;(Manchester City)
28;Jan Oblak ;(Atlético Madrid)
29;Jadon Sancho ;(Borussia Dortmund)
30;Timo Werner ;(Chelsea)
31;David Alaba ;(Bayern Múnich)
32;Alejandro Gómez ;(Atalanta)
33;Jordan Henderson ;(Liverpool)
34;Andrew Robertson ;(Liverpool)
35;Jamie Vardy ;(Leicester City)
36;Pierre-Emerick;(Arsenal)
37;Félix ;(Atlético Madrid)
38;Ángel Di María ;(Paris St-Germain)
39;Paulo Dybala ;(Juventus)
40;Leon Goretzka ;(Bayern Múnich)
41;Marcus Rashford ;(Manchester United)
42;Toni Kroos ;(Real Madrid)
43;Roberto Firmino ;(Liverpool)
44;Lautaro Martínez ;(Inter)
45;Ansu Fati ;(Barcelona)
46;Thibaut Courtois ;(Real Madrid)
47;Kingsley Coman ;(Bayern Múnich)
48;Marc-André ter Stegen ;(Barcelona)
49;Marquinhos ;(Paris St-Germain)
50;Kai Havertz ;(Chelsea)
51;Fabinho ;(Liverpool)
52;Dayot Upamecano ;(RB Leipzig)
53;Lucas Ocampos ;(Sevilla)
54;Thiago Silva ;(Chelsea)
55;N’Golo Kanté ;(Chelsea)
56;Casemiro ;(Real Madrid)
57;Duván Zapata ;(Atalanta)
58;Luis Suárez; (Atlético Madrid)
59;Jack Grealish ;(Aston Villa)
60;Hakim Ziyech ;(Chelsea)
61;Josip Ilicic ;(Atalanta
62;Kalidou Koulibaly ;(Napoli)
63;Diogo Jota ;(Liverpool)
64;Memphis Depay ;(Lyon)
65;Sergio Agüero ;(Manchester City)
66;Federico Valverde ;(Real Madrid)
67;Keylor Navas ;(Paris St-Germain)
68;Marcel Sabitzer ;(RB Leipzig)
69;Matthijs de Ligt ;(Juventus)
70;Bernardo Silva ;(Manchester City)
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
